text,url,source_url,concatenated
Stardust Crusaders,https://tvtropes.org/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventureStardustCrusaders,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/AnimeAndManga,'Stardust Crusaders':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventureStardustCrusaders'
Stargate Atlantis,https://tvtropes.org/pmwiki/pmwiki.php/Series/StargateAtlantis,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/LiveActionTV,'Stargate Atlantis':'https://tvtropes.org/pmwiki/pmwiki.php/Series/StargateAtlantis'
Stargate SG-1,https://tvtropes.org/pmwiki/pmwiki.php/Series/StargateSG1,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/LiveActionTV,'Stargate SG-1':'https://tvtropes.org/pmwiki/pmwiki.php/Series/StargateSG1'
Steelgrip Starkey and the All-Purpose Power Tool,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SteelgripStarkeyAndTheAllPurposePowerTool,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/ComicBooks,'Steelgrip Starkey and the All-Purpose Power Tool':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SteelgripStarkeyAndTheAllPurposePowerTool'
Stellaris,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Stellaris,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/VideoGames,'Stellaris':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Stellaris'
Stephen Sondheim,https://tvtropes.org/pmwiki/pmwiki.php/Music/StephenSondheim,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/ComicBooks,'Stephen Sondheim':'https://tvtropes.org/pmwiki/pmwiki.php/Music/StephenSondheim'
Steven Universe,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/StevenUniverse,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/WesternAnimation,'Steven Universe':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/StevenUniverse'
Stitch,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/LiloAndStitch,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/AnimatedFilms,'Stitch':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/LiloAndStitch'
Stranger Things,https://tvtropes.org/pmwiki/pmwiki.php/Series/StrangerThings,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/LiveActionTV,'Stranger Things':'https://tvtropes.org/pmwiki/pmwiki.php/Series/StrangerThings'
Street Fighter,https://tvtropes.org/pmwiki/pmwiki.php/Film/StreetFighter,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/LiveActionFilms,'Street Fighter':'https://tvtropes.org/pmwiki/pmwiki.php/Film/StreetFighter'
Street Fighter Alpha,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StreetFighterAlpha,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/VideoGames,'Street Fighter Alpha':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StreetFighterAlpha'
Street Fighter II V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StreetFighterIIV,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/VideoGames,'Street Fighter II V':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/StreetFighterIIV'
Street Fighter IV,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StreetFighterIV,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/VideoGames,'Street Fighter IV':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StreetFighterIV'
Street Fighter V,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StreetFighterV,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/VideoGames,'Street Fighter V':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StreetFighterV'
Suits,https://tvtropes.org/pmwiki/pmwiki.php/Series/Suits,https://tvtropes.org/pmwiki/pmwiki.php/EvilCounterpart/LiveActionTV,'Suits':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Suits'
Sumie Sakai,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/SumieSakai,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart,'Sumie Sakai':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/SumieSakai'
