Title,Tropes Count
Star Driver,224
Tenchi Muyo!,224
Valvrave the Liberator,224
Heroman,224
Mutant Chronicles,224
Cataclysm,224
Resident Evil 5,224
Super Robot Monkey Team Hyperforce Go!,224
Digimon Fusion,223
Linebarrels of Iron,223
Starsiege,223
"Nine Hours, Nine Persons, Nine Doors",223
Duck Dodgers,223
Lilo & Stitch: The Series,223
Attack of the Clones,222
Repo! The Genetic Opera,222
Alter A.I.L.A.,222
Halo 5: Guardians,222
Ratchet & Clank (2002),222
Andor,221
CrossCode,221
Resident Evil 4 (Remake),221
Time Commando,221
Zack Snyder's Justice League,220
Get Out (2017),220
The Rocky Horror Picture Show,220
Known Space,220
Dark Angel,220
Prey (2017),220
Spiral Knights,220
The Big O,219
Beyond Good & Evil,219
Hardcore Henry,217
Dragonriders of Pern,217
Humanx Commonwealth,217
Jurassic World: Camp Cretaceous,217
Gold Digger,216
The Night's Dawn Trilogy,216
Cyborg 009,216
Space: Above and Beyond,216
Treehouse of Horror,216
Texhnolyze,215
Flash Gordon (1980),215
Accel World,215
Westworld,215
Tales from the Borderlands,215
Resident Evil 2,215
Monster Buster Club,215
James Bond,214
Spider-Man 2,214
Imperial Radch,214
For All Mankind,214
Phantasy Star IV,214
Ever17,214
Bucky O'Hare and the Toad Wars!,213
Star Wars: Doctor Aphra,213
Spider-Man 3,213
Terminator Genisys,213
Twisted Insurrection,213
StarCraft II: Heart of the Swarm,213
You Only Live Twice,212
Kris Longknife,212
Out of the Dark,212
Andromeda,212
Timeless,212
The Evil Within,212
Pacific Rim: Uprising,211
Borderlands 3,211
Deus Ex: Mankind Divided,211
Alien,210
Ready Player One,210
Jurassic Park: The Game,210
"Warhammer 40,000: Space Marine",210
Bubblegum Crisis,209
Transformers: Robots in Disguise (2015),209
Predators,208
Aurora Cycle,208
Gone,208
AI War: Fleet Command,208
Star Trek: Generations,207
Super 8,207
Snowpiercer,207
WildStar,207
The Star War Gatherings,207
TRON: Uprising,207
Digimon Frontier,206
Space Battleship Yamato 2199,206
Blade Runner,206
Republic Commando Series,206
Torchwood,206
Homeworld,206
inFAMOUS,206
Killzone,206
Zero Time Dilemma,206
Final Space,206
TRON,205
Rampage (2018),205
Appleseed,205
Contra,205
Star Fox 64,205
Transformers: Cyberverse,205
Tekkaman Blade,204
Phantasy Star Nova,204
Star Wars: Republic Commando,204
Summer Wars,203
Star Trek: The Lost Era,203
Dead Space (Remake),203
Phantasy Star Universe,203
Judgment Rites,203
The Amazing Spider-Man 2,202
Ōoku: The Inner Chambers,202
Assassin's Creed,202
DonPachi,202
Vandread,201
The Tripods,201
V (1983),201
Azure Striker Gunvolt,201
Martian Successor Nadesico,200
Vividred Operation,200
The Lost World: Jurassic Park,200
The Atomic Time of Monsters,200
Hyperion Cantos,200
Maximum Ride,200
Neuromancer,200
The Han Solo Trilogy,200
BLAME!,200
Gradius,200
System Shock,200
Tyrian,200
Alita: Battle Angel,199
